timer,hart,hart_rolling_mean
0.0,0.000569169610567,482.164919919
0.854790319355,0.0060125225478,482.164919919
1.70958063871,0.031795360544,482.164919919
2.56437095806,0.114067361187,482.164919919
3.41916127742,0.316784700769,482.164919919
4.27395159677,0.734169795095,482.164919919
5.12874191613,1.48904869228,482.164919919
5.98353223548,2.728277923,482.164919919
6.83832255484,4.61626425984,482.164919919
7.69311287419,7.32738683097,482.164919919
8.54790319355,11.0379735865,482.164919919
9.4026935129,15.9183660277,482.164919919
10.2574838323,22.125499434,482.164919919
11.1122741516,29.7963100867,482.164919919
11.967064471,39.042177562,482.164919919
12.8218547903,49.9445327662,482.164919919
13.6766451097,62.5516965196,482.164919919
14.531435429,76.8769550052,482.164919919
15.3862257484,92.8978323062,482.164919919
16.2410160677,110.556483821,482.164919919
17.0958063871,129.761103261,482.164919919
17.9505967064,150.388212906,482.164919919
18.8053870258,172.285699889,482.164919919
19.6601773452,195.276468139,482.164919919
20.5149676645,219.162574882,482.164919919
21.3697579839,243.729704716,482.164919919
22.2245483032,268.75183159,482.164919919
23.0793386226,293.995938414,482.164919919
23.9341289419,319.226676291,482.164919919
24.7889192613,344.210855338,482.164919919
25.6437095806,368.721688867,482.164919919
26.4984999,392.542736287,482.164919919
27.3532902193,415.471484287,482.164919919
28.2080805387,437.322498713,482.164919919
29.0628708581,457.930096212,482.164919919
29.9176611774,477.150505195,482.164919919
30.7724514968,494.863492414,482.164919919
31.6272418161,510.973443707,482.164919919
32.4820321355,525.409912889,482.164919919
33.3368224548,538.127670825,482.164919919
34.1916127742,549.106288832,482.164919919
35.0464030935,558.34928892,482.164919919
35.9011934129,565.882901633,482.164919919
36.7559837322,571.754484109,482.164919919
37.6107740516,576.030651987,482.164919919
38.465564371,578.795176863,482.164919919
39.3203546903,580.146707141,482.164919919
40.1751450097,580.196373965,482.164919919
41.029935329,579.065337954,482.164919919
41.8847256484,576.882324579,482.164919919
42.7395159677,573.781190364,482.164919919
43.5943062871,569.898556933,482.164919919
44.4490966064,565.371548396,482.164919919
45.3038869258,560.335668146,482.164919919
46.1586772451,554.922847188,482.164919919
47.0134675645,549.259689122,482.164919919
47.8682578839,543.46592919,482.164919919
48.7230482032,537.653118035,482.164919919
49.5778385226,531.923534894,482.164919919
50.4326288419,526.36932427,482.164919919
51.2874191613,521.071845927,482.164919919
52.1422094806,516.101241495,482.164919919
52.9969998,511.51622373,482.164919919
53.8517901193,507.364068898,482.164919919
54.7065804387,503.680780477,482.164919919
55.5613707581,500.491415217,482.164919919
56.4161610774,497.810573301,482.164919919
57.2709513968,495.643028627,482.164919919
58.1257417161,493.984455533,482.164919919
58.9805320355,492.822220648,482.164919919
59.8353223548,492.136225651,482.164919919
60.6901126742,491.899788974,482.164919919
61.5449029935,492.080556082,482.164919919
62.3996933129,492.641436553,482.164919919
63.2544836322,493.541568934,482.164919919
64.1092739516,494.737301829,482.164919919
64.964064271,496.183166063,482.164919919
65.8188545903,497.832813964,482.164919919
66.6736449097,499.639910499,482.164919919
67.528435229,501.55896307,482.164919919
68.3832255484,503.546076703,482.164919919
69.2380158677,505.55962785,482.164919919
70.0928061871,507.560850441,482.164919919
70.9475965064,509.514321054,482.164919919
71.8023868258,511.388339251,482.164919919
72.6571771451,513.155215819,482.164919919
73.5119674645,514.791477727,370.929416499
74.3667577839,516.277982599,376.863639642
75.2215481032,517.599932928,382.812995049
76.0763384226,518.746794406,388.775236417
76.9311287419,519.712136868,394.74762802
77.7859190613,520.493417098,400.726669772
78.6407093806,521.091718055,406.707791016
79.4954997,521.511453277,412.685060035
80.3502900193,521.760035718,418.650942308
81.2050803387,521.847512486,424.596129069
82.059870658,521.786178649,430.509448516
82.9146609774,521.590179361,436.377864674
83.7694512968,521.275097845,442.186562741
84.6242416161,520.857534141,447.919114864
85.4790319355,520.354694304,453.557716981
86.3338222548,519.784003716,459.083485098
87.1886125742,519.162742328,464.476797852
88.0434028935,518.507698484,469.717671437
88.8981932129,517.834849739,474.786152986
89.7529835322,517.159088312,479.662719147
90.6077738516,516.494000142,484.32866761
91.4625641709,515.851690001,488.766490447
92.3173544903,515.242647987,492.960219585
93.1721448097,514.675665758,496.895736435
94.026935129,514.157810618,500.561039222
94.8817254484,513.694456615,503.94646315
95.7365157677,513.289364488,507.044850044
96.5913060871,512.944796579,509.851665733
97.4460964064,512.661647476,512.365064688
98.3008867258,512.439573377,514.585902585
99.1556770451,512.277117846,516.517698706
100.010467364,512.171844616,518.166551071
100.865257684,512.120484592,519.541007948
101.720048003,512.119091181,520.651899981
102.574838323,512.163192155,521.512137837
103.429628642,512.247930924,522.136480765
104.284418961,512.368194694,522.541281794
105.139209281,512.518728015,522.744215536
105.9939996,512.694235433,522.763994751
106.848789919,512.889480101,522.620081731
107.703580239,513.099376762,522.33240019
108.558370558,513.319073245,521.921052884
109.413160877,513.544020023,521.406049793
110.267951197,513.77002656,520.807051229
111.122741516,513.99329948,520.143129567
111.977531835,514.210464516,519.432552699
112.832322155,514.418583076,518.692591851
113.687112474,514.615164927,517.939355734
114.541902794,514.798162347,517.187652152
115.396693113,514.965939604,516.450877458
116.251483432,515.11723323,515.74093388
117.106273752,515.251118308,515.068174431
117.961064071,515.366980334,514.4413747
118.81585439,515.464491999,513.867730373
119.67064471,515.543602973,513.35287905
120.525435029,515.604540221,512.900944487
121.380225348,515.64779971,512.51460093
122.235015668,515.674118666,512.195154832
123.089805987,515.684434965,511.942641234
123.944596306,515.679839011,511.755932086
124.799386626,515.661521324,511.632853891
125.654176945,515.630726299,511.570312286
126.508967264,515.588716641,511.564421196
127.363757584,515.536742035,511.61063405
128.218547903,515.476015598,511.703874816
129.073338223,515.407715531,511.838667173
129.928128542,515.333016968,512.009260297
130.782918861,515.253132709,512.209749486
131.637709181,515.169337942,512.434189823
132.4924995,515.082971437,512.6767015
133.347289819,514.995415418,512.931565807
134.202080139,514.908062714,513.193311061
135.056870458,514.822286735,513.456788047
135.911660777,514.739422213,513.717234784
136.766451097,514.660752353,513.970330368
137.621241416,514.587493755,514.21223755
138.476031735,514.52077269,514.439633766
139.330822055,514.461597196,514.649730676
140.185612374,514.41083293,514.840282618
141.040402694,514.369179105,515.009584556
141.895193013,514.337140266,515.156460156
142.749983332,514.314999578,515.280240879
143.604773652,514.302795421,515.380737058
144.459563971,514.300298177,515.458201974
145.31435429,514.306994505,515.513290175
146.16914461,514.322092488,515.547011476
147.023934929,514.344551727,515.560682004
147.878725248,514.373134775,515.555873464
148.733515568,514.406476855,515.534361904
149.588305887,514.443164555,515.49807721
150.443096206,514.481804027,515.449054332
151.297886526,514.521067315,515.389386866
152.152676845,514.559726059,515.321183521
153.007467164,514.596682417,515.246527939
153.862257484,514.630989046,515.167442143
154.717047803,514.661850064,515.085853802
155.571838123,514.68861006,515.003567567
156.426628442,514.71073771,514.92224066
157.281418761,514.727805386,514.843362798
158.136209081,514.739474904,514.768240695
158.9909994,514.745501145,514.697987443
159.845789719,514.745748721,514.633516804
160.700580039,514.740206325,514.575542121
161.555370358,514.728989862,514.524579449
162.410160677,514.712338119,514.480954617
163.264950997,514.690610483,514.444813936
164.119741316,514.664289328,514.416138086
164.974531635,514.633984979,514.394758601
165.829321955,514.600444862,514.380376473
166.684112274,514.564561814,514.372582379
167.538902594,514.527364909,514.370877772
168.393692913,514.489986494,514.374695885
169.248483232,514.453618741,514.383421887
170.103273552,514.419467169,514.396411573
170.958063871,514.388691102,514.413008061
171.81285419,514.362329371,514.432556129
172.66764451,514.341230758,514.45441426
173.522434829,514.326005575,514.477964694
174.377225148,514.316999248,514.502621644
175.232015468,514.314288454,514.52783778
176.086805787,514.317702123,514.55310917
176.941596106,514.326860399,514.57797892
177.796386426,514.341221182,514.602039727
178.651176745,514.360132254,514.624935561
179.505967064,514.382886896,514.646362675
180.360757384,514.408770991,514.66606998
181.215547703,514.437094058,514.683858646
182.070338023,514.467211197,514.699580881
182.925128342,514.498542057,514.713137994
183.779918661,514.530581884,514.724477786
184.634708981,514.562901913,514.733591295
185.4894993,514.595146865,514.740509082
186.344289619,514.627034767,514.745297245
187.199079939,514.65835451,514.748053239
188.053870258,514.688959445,514.748901452
188.908660577,514.718759491,514.747988775
189.763450897,514.747704692,514.745480328
190.618241216,514.775750831,514.741555243
191.473031535,514.802814804,514.736402329
192.327821855,514.82873696,514.730215624
193.182612174,514.853257063,514.723189935
194.037402493,514.876001994,514.71551636
194.892192813,514.896486668,514.707377814
195.746983132,514.914131597,514.698944847
196.601773452,514.928295851,514.690372171
197.456563771,514.938322154,514.681796161
198.31135409,514.943594067,514.673333576
199.16614441,514.943602719,514.665081638
200.020934729,514.938013418,514.657119421
200.875725048,514.926724032,514.64951031
201.730515368,514.909913079,514.64230538
202.585305687,514.888071792,514.635547405
203.440096006,514.862007116,514.629274895
204.294886326,514.832808922,514.623525377
205.149676645,514.801789673,514.618337526
206.004466964,514.770406371,514.613752105
206.859257284,514.740164165,514.609811792
207.714047603,514.712503321,514.606559929
208.568837923,514.688687297,514.604038372
209.423628242,514.669708905,514.602284604
210.278418561,514.656215348,514.601328203
211.133208881,514.648457822,514.601186887
211.9879992,514.646284942,514.601862648
212.842789519,514.649180873,514.603338604
213.697579839,514.656325627,514.605576862
214.552370158,514.666664327,514.608517452
215.407160477,514.678986921,514.612078462
216.261950797,514.69201462,514.616157477
217.116741116,514.704481749,514.620634284
217.971531435,514.715208568,514.625374665
218.826321755,514.723168775,514.630235246
219.681112074,514.727548197,514.635069197
220.535902393,514.727784641,514.639732325
221.390692713,514.723584274,514.644089021
222.245483032,514.71491288,514.648017505
223.100273352,514.701959266,514.651413855
223.955063671,514.685074518,514.654194429
224.80985399,514.664700518,514.656296687
225.66464431,514.64130214,514.657678697
226.519434629,514.615310643,514.6583176
227.374224948,514.587083917,514.658207273
228.229015268,514.55689757,514.657355646
229.083805587,514.524977112,514.655782394
229.938595906,514.491553712,514.653517379
230.793386226,514.456908923,514.650599806
231.648176545,514.421395161,514.64707785
232.502966864,514.385444739,514.643008538
233.357757184,514.349577493,514.638457691
234.212547503,514.314405714,514.633499725
235.067337823,514.280633387,514.628217278
235.922128142,514.2490459,514.622700681
236.776918461,514.220486226,514.61704721
237.631708781,514.195819399,514.611359957
238.4864991,514.175892029,514.605746195
239.341289419,514.16149083,514.600315227
240.196079739,514.153300995,514.595175643
241.050870058,514.151866545,514.590432019
241.905660377,514.157557644,514.586181361
242.760450697,514.170552494,514.582509705
243.615241016,514.190836883,514.579489224
244.470031335,514.218216776,514.577176001
245.324821655,514.252340039,514.575608748
246.179611974,514.292722944,514.574808674
247.034402293,514.338769353,514.574780382
247.889192613,514.389774056,514.575513353
248.743982932,514.444919242,514.576983698
249.598773252,514.503280518,514.57915602
250.453563571,514.563849122,514.581985296
251.30835389,514.625566786,514.585418703
252.16314421,514.687366455,514.589397384
253.017934529,514.748212603,514.593858078
253.872724848,514.807138974,514.598734539
254.727515168,514.863283258,514.603958818
255.582305487,514.915912671,514.60946248
256.437095806,514.964430277,514.615177642
257.291886126,515.008357773,514.621037592
258.146676445,515.047301484,514.626976898
259.001466764,515.080911833,514.632931035
259.856257084,515.108842624,514.638835584
260.711047403,515.130714677,514.644625008
261.565837723,515.146090125,514.650231165
262.420628042,515.154464318,514.655581796
263.275418361,515.155279817,514.660599271
264.130208681,515.147962649,514.665199937
264.984999,515.131975692,514.669294475
265.839789319,515.106879723,514.672789474
266.694579639,515.072391503,514.675590101
267.549369958,515.028432669,514.677603614
268.404160277,514.975168744,514.678743462
269.258950597,514.913034668,514.678933669
270.113740916,514.842738344,514.678113057
270.968531235,514.765242438,514.676238879
271.823321555,514.681738235,514.673289639
272.678111874,514.593618828,514.669266935
273.532902193,514.502439912,514.664196098
274.387692513,514.409859415,514.658125363
275.242482832,514.317568829,514.651123579
276.097273152,514.22723234,514.643276674
276.952063471,514.140434216,514.634683138
277.80685379,514.058630253,514.625448921
278.66164411,513.983106284,514.615682224
279.516434429,513.914946799,514.605488628
280.371224748,513.85501201,514.594966854
281.226015068,513.803927591,514.584205514
282.080805387,513.762100212,514.57328134
282.935595706,513.729758935,514.562259175
283.790386026,513.706998264,514.551193536
284.645176345,513.693803482,514.54013133
285.499966664,513.690062302,514.52911529
286.354756984,513.695566397,514.51818749
287.209547303,513.709994857,514.507392249
288.064337623,513.732881496,514.496777949
288.919127942,513.763583227,514.486397706
289.773918261,513.801264335,514.476308941
290.628708581,513.84490104,514.466572003
291.4834989,513.89330456,514.457248127
292.338289219,513.945154628,514.448396933
293.193079539,513.999032917,514.440073532
294.047869858,514.053457115,514.432325359
294.902660177,514.106924688,514.425189037
295.757450497,514.157963431,514.418687648
296.612240816,514.205171613,514.412828553
297.467031135,514.247235844,514.407601847
298.321821455,514.282930331,514.4029795
299.176611774,514.311107823,514.398915216
300.031402093,514.330691805,514.395344983
300.886192413,514.340678273,514.392188289
301.740982732,514.340151792,514.389349988
302.595773052,514.328312125,514.38672257
303.450563371,514.304500229,514.384188352
304.30535369,514.268218284,514.381621279
305.16014401,514.219152595,514.378888447
306.014934329,514.157206728,514.375851799
306.869724648,514.082536287,514.372370092
307.724514968,513.995571374,514.368301056
308.579305287,513.897022557,514.363503549
309.434095606,513.787875143,514.357839661
310.288885926,513.669375494,514.351176783
